id,element,element_type,stride,threat_description,mitigation,SDL_stage,cvss_vector,cvss_score
1,EE1: End User,External Entity,Spoofing,Attacker impersonates a legitimate user to upload malicious files or access restricted document collections.,"Enforce strong authentication (MFA), secure session token binding, and continuous session verification.",Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1
2,EE1: End User,External Entity,Repudiation,User denies uploading a sensitive/malicious document or performing unauthorized file-retrieval attempts.,"Log user operations with cryptographic timestamps, client IP, user identity, and SHA-256 file hashes in immutable audit logs.",Implementation,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,4.3
3,EE2: External LLM Provider,External Entity,Spoofing,DNS hijacking or MITM spoofing mimics the External LLM Provider endpoint to return deceptive or malicious file summaries.,"Enforce strict TLS certificate pinning, DNSSEC, and verified API key authentication on external endpoints.",Design,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,7.4
4,EE2: External LLM Provider,External Entity,Repudiation,External LLM Provider denies generating a compromised response that disclosed sensitive document details or hallucinatory advice.,Record and cryptographically hash all outbound prompts and incoming provider raw responses with server timestamps.,Verification,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N,3.7
5,P1: Web Frontend Interface,Process,Spoofing,Attacker creates a spoofed web frontend / phishing page or clickjacking iframe to harvest user credentials and files.,"Deploy Content Security Policy (CSP), X-Frame-Options: DENY, and HSTS headers.",Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,8.1
6,P1: Web Frontend Interface,Process,Tampering,"Cross-site scripting (XSS) in frontend UI allows attacker to tamper with rendered file lists, metadata, or AI responses.","Enforce strict contextual HTML output encoding, DOMPurify for AI answers, and prohibit raw HTML rendering.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,8.1
7,P1: Web Frontend Interface,Process,Repudiation,"Frontend client fails to log file upload/retrieval triggers or client errors, hampering incident investigation.","Forward client interaction events and telemetry to a centralized, tamper-resistant logging service.",Verification,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,5.3
8,P1: Web Frontend Interface,Process,Information Disclosure,"Frontend leaks confidential document previews, auth tokens, or file metadata in browser local storage or browser console.",Store tokens only in HttpOnly/Secure cookies; clear document blobs from memory immediately after download/render.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,6.5
9,P1: Web Frontend Interface,Process,Denial of Service,Client-side browser freeze triggered by rendering excessively large document lists or massive AI text chunks.,"Implement virtualized scrolling for file lists, stream parsing with pagination, and payload size bounds.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
10,P1: Web Frontend Interface,Process,Elevation of Privilege,Attacker modifies client-side JavaScript state to bypass UI permission toggles and attempt privileged file actions.,Enforce all authorization rules strictly on backend services (P2); treat client-side validation as purely UX assistance.,Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1
11,P2: File Management Service,Process,Spoofing,Attacker sends requests with forged user session identifiers to perform unauthorized file operations.,Validate session authenticity against DS2 on every incoming request; sign inter-service tokens with asymmetric keys.,Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1
