Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
114,EE1 Authenticated User Process Memory Tampered,Tampering,scenario 2,File Upload Submission,High,Not Started,,"If EE1 Authenticated User is given access to memory, such as shared memory or pointers, or is given the ability to control what P1 Web Frontend executes (for example, passing back a function pointer.), then EE1 Authenticated User can tamper with P1 Web Frontend. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
1,Cross Site Scripting,Tampering,scenario 2,File Upload Submission,High,Not Started,,The web server 'P1 Web Frontend' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
2,Elevation Using Impersonation,Elevation Of Privilege,scenario 2,File Upload Submission,High,Not Started,,P1 Web Frontend may be able to impersonate the context of EE1 Authenticated User in order to gain additional privilege.,,Generated
3,P1 Web Frontend Process Memory Tampered,Tampering,scenario 2,Forwarded Uploaded file,High,Not Started,,"If P1 Web Frontend is given access to memory, such as shared memory or pointers, or is given the ability to control what P2 Backend File Processing Service executes (for example, passing back a function pointer.), then P1 Web Frontend can tamper with P2 Backend File Processing Service. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
4,Elevation Using Impersonation,Elevation Of Privilege,scenario 2,Forwarded Uploaded file,High,Not Started,,P2 Backend File Processing Service may be able to impersonate the context of P1 Web Frontend in order to gain additional privilege.,,Generated
5,P2 Backend File Processing Service Process Memory Tampered,Tampering,scenario 2,File for validation,High,Not Started,,"If P2 Backend File Processing Service is given access to memory, such as shared memory or pointers, or is given the ability to control what P3 File Validation Module executes (for example, passing back a function pointer.), then P2 Backend File Processing Service can tamper with P3 File Validation Module. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
6,Elevation Using Impersonation,Elevation Of Privilege,scenario 2,File for validation,High,Not Started,,P3 File Validation Module may be able to impersonate the context of P2 Backend File Processing Service in order to gain additional privilege.,,Generated
10,Potential Excessive Resource Consumption for P2 Backend File Processing Service or DS1 Server Storage Repository,Denial Of Service,scenario 2,Validated file + metadata for storage,High,Not Started,,"Does P2 Backend File Processing Service or DS1 Server Storage Repository take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
9,Spoofing of Destination Data Store DS1 Server Storage Repository,Spoofing,scenario 2,Validated file + metadata for storage,High,Not Started,,DS1 Server Storage Repository may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of DS1 Server Storage Repository. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
18,P4 File Retrieval Handler Process Memory Tampered,Tampering,scenario 2,Retrieved file,High,Not Started,,"If P4 File Retrieval Handler is given access to memory, such as shared memory or pointers, or is given the ability to control what P1 Web Frontend executes (for example, passing back a function pointer.), then P4 File Retrieval Handler can tamper with P1 Web Frontend. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
17,Weak Access Control for a Resource,Information Disclosure,scenario 2,File reference identifier,High,Not Started,,Improper data protection of DS1 Server Storage Repository can allow an attacker to read information not intended for disclosure. Review authorization settings.,,Generated
16,Spoofing of Source Data Store DS1 Server Storage Repository,Spoofing,scenario 2,File reference identifier,High,Not Started,,DS1 Server Storage Repository may be spoofed by an attacker and this may lead to incorrect data delivered to P2 Backend File Processing Service. Consider using a standard authentication mechanism to identify the source data store.,,Generated
25,Elevation Using Impersonation,Elevation Of Privilege,scenario 2,Download request with file identifier,High,Not Started,,P4 File Retrieval Handler may be able to impersonate the context of P1 Web Frontend in order to gain additional privilege.,,Generated
24,P1 Web Frontend Process Memory Tampered,Tampering,scenario 2,Download request with file identifier,High,Not Started,,"If P1 Web Frontend is given access to memory, such as shared memory or pointers, or is given the ability to control what P4 File Retrieval Handler executes (for example, passing back a function pointer.), then P1 Web Frontend can tamper with P4 File Retrieval Handler. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
19,Cross Site Scripting,Tampering,scenario 2,Retrieved file,High,Not Started,,The web server 'P1 Web Frontend' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
20,Elevation Using Impersonation,Elevation Of Privilege,scenario 2,Retrieved file,High,Not Started,,P1 Web Frontend may be able to impersonate the context of P4 File Retrieval Handler in order to gain additional privilege.,,Generated
21,EE1 Authenticated User Process Memory Tampered,Tampering,scenario 2,Download request with file identifier,High,Not Started,,"If EE1 Authenticated User is given access to memory, such as shared memory or pointers, or is given the ability to control what P1 Web Frontend executes (for example, passing back a function pointer.), then EE1 Authenticated User can tamper with P1 Web Frontend. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
22,Cross Site Scripting,Tampering,scenario 2,Download request with file identifier,High,Not Started,,The web server 'P1 Web Frontend' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
23,Elevation Using Impersonation,Elevation Of Privilege,scenario 2,Download request with file identifier,High,Not Started,,P1 Web Frontend may be able to impersonate the context of EE1 Authenticated User in order to gain additional privilege.,,Generated
26,P1 Web Frontend Process Memory Tampered,Tampering,scenario 2,Retrieved File,High,Not Started,,"If P1 Web Frontend is given access to memory, such as shared memory or pointers, or is given the ability to control what EE1 Authenticated User executes (for example, passing back a function pointer.), then P1 Web Frontend can tamper with EE1 Authenticated User. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
27,Elevation Using Impersonation,Elevation Of Privilege,scenario 2,Retrieved File,High,Not Started,,EE1 Authenticated User may be able to impersonate the context of P1 Web Frontend in order to gain additional privilege.,,Generated
34,Elevation Using Impersonation,Elevation Of Privilege,scenario 2,Validation result,High,Not Started,,P2 Backend File Processing Service may be able to impersonate the context of P3 File Validation Module in order to gain additional privilege.,,Generated
33,P3 File Validation Module Process Memory Tampered,Tampering,scenario 2,Validation result,High,Not Started,,"If P3 File Validation Module is given access to memory, such as shared memory or pointers, or is given the ability to control what P2 Backend File Processing Service executes (for example, passing back a function pointer.), then P3 File Validation Module can tamper with P2 Backend File Processing Service. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
113,Weak Access Control for a Resource,Information Disclosure,scenario 2,requested file,High,Not Started,,Improper data protection of DS1 Server Storage Repository can allow an attacker to read information not intended for disclosure. Review authorization settings.,,Generated
112,Spoofing of Source Data Store DS1 Server Storage Repository,Spoofing,scenario 2,requested file,High,Not Started,,DS1 Server Storage Repository may be spoofed by an attacker and this may lead to incorrect data delivered to P4 File Retrieval Handler. Consider using a standard authentication mechanism to identify the source data store.,,Generated
111,Potential Excessive Resource Consumption for P4 File Retrieval Handler or DS1 Server Storage Repository,Denial Of Service,scenario 2,file lookup request,High,Not Started,,"Does P4 File Retrieval Handler or DS1 Server Storage Repository take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
110,Spoofing of Destination Data Store DS1 Server Storage Repository,Spoofing,scenario 2,file lookup request,High,Not Started,,DS1 Server Storage Repository may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of DS1 Server Storage Repository. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
