Reference_Threat_ID,Threat_Name,Primary_STRIDE_Category,Threat_Type,Affected_Components,Affected_Data_Flows,Trust_Boundary,Affected_Asset_Security_Property,Attack_Mechanism,Concrete_Attack_Scenario,Security_Impact,Architectural_Evidence,Expert_Justification,Severity,Likelihood,LLM_Specific,Confidence,Include_in_Final_Baseline
S1-RT-001,Online brute-force password guessing,Spoofing,Authentication,P2 Authentication Service (reached via P1 Web Frontend),"DF1, DF2, DF3",TB1,User credentials; authentication decision,Unbounded automated password guessing against the credential verification path: the attacker iterates candidate passwords for a known username until the verification result on DF4 indicates success; anti-automation is not specified by the architecture anywhere between the DF1 entry point and the DF3 verification cycle.,"An attacker obtains a valid username through enumeration (S1-RT-003), then scripts repeated login submissions on DF1, each carrying the same username with the next candidate password. P1 forwards every attempt on DF2, P2 executes a DF3 verification against DS1 for each, and no element in the drawn architecture limits attempt count or frequency. On the first successful verification the attacker receives a session token via DF6 and holds the account.","Account takeover: one guessed password yields a valid session token on DF6, because the architecture specifies credential verification as the sole authentication factor and no second factor or step-up mechanism is drawn anywhere.",P2 is the sole authentication decision authority (stated assumption A1) and is anonymously reachable because DF1 crosses TB1 from the untrusted End User environment. The DF2 to DF3 verification cycle is unbounded in the drawn architecture: no anti-automation or attempt-limiting element is specified on any flow. OWASP A07 places anti-automation at exactly this point.,"Final audit: retained. Architecture-grounded (DF1, DF2, DF3, TB1, A1); distinct from S1-RT-002, which is breadth-first replay of breached pairs rather than depth-first guessing; objectively matchable by attack pattern. Primary STRIDE is Spoofing: the attacker presents a credential they do not own in order to be recognised as the account owner. Control-gap phrasing applied per rule 7: anti-automation is described as not specified, not as definitely absent. Evaluation note: if lockout-style anti-automation is implemented, it admits its own denial-of-access abuse vector, which is documented in the audit summary rather than retained as a separate architecture-level threat.",High,High,No,High,YES
S1-RT-002,Credential stuffing using breached credential corpora,Spoofing,Authentication,P2 Authentication Service,"DF1, DF2",TB1,User credentials; user accounts,"Distributed low-rate replay of externally breached username and password pairs across many accounts and sources, producing a per-account request pattern that per-account anti-automation, where implemented at all, does not detect.","The attacker loads a corpus of breached credential pairs and submits each pair exactly once per account, distributed across many sources. Every account sees at most one failed DF3 verification, so any per-account attempt limit never trips; every password the victim reuses elsewhere yields a session token on DF6 for the attacker.","Mass account takeover proportional to the password-reuse rate in the user population, with a session token issued on DF6 for every successful pair.","Like S1-RT-001 this exploits the anonymous reachability of DF1 across TB1 into P2, but the attack path is breadth-first across accounts rather than depth-first against one, producing a statistically different DF2 request pattern; OWASP treats stuffing and brute force as distinct techniques with distinct controls (breached-password screening versus attempt limiting).","Final audit: retained. Distinct mechanism from S1-RT-001 (request pattern, detection signal and control all differ), so the pair is not merged. Primary STRIDE is Spoofing: valid credentials of the real owner are used to impersonate them. Conditional phrasing applied: the presence of any attempt-limiting control is treated as unspecified, and the mechanism is stated as the pattern such controls fail to catch.",High,High,No,High,YES
S1-RT-003,Username and account enumeration,Information Disclosure,Authentication,P2 Authentication Service; P1 Web Frontend,"DF1, DF2, DF4",TB1,Account existence metadata (PII),"Differential response content, status or timing between existing and non-existing accounts turns the login and registration functions into an account-existence oracle whose signal crosses TB1 to the untrusted user environment.","The attacker submits login attempts for candidate usernames with a fixed wrong password and compares the returned responses: an account-specific response for existing usernames versus a generic one for non-existing usernames, or a measurable timing difference carried by the DF4 result through P2 and P1, confirms which accounts exist before any guessing begins.","Produces a validated target list that raises the yield of S1-RT-001 and S1-RT-002, and discloses membership information about identifiable persons.","The verification outcome produced on DF4 propagates back through P2 and P1 and crosses TB1 to the untrusted user environment; response uniformity is not specified by the architecture, so differentiating responses are an architecture-level exposure rather than an implementation accident. ASVS V2.2 requires uniform authentication responses at exactly this point.","Final audit: retained. An enabler rather than a direct compromise (Severity Medium) but a distinct mechanism, a design-level response oracle, separable from S1-RT-019 (diagnostic-content disclosure) by inspection method and asset. Primary STRIDE is Information Disclosure: the leaked asset is account existence metadata. No implementation assumption is required: the oracle is defined by response differentiation across a drawn boundary.",Medium,High,No,High,YES
S1-RT-004,Authentication bypass through flawed authentication logic,Spoofing,Authentication,P2 Authentication Service; P3 Session Management Module,"DF2, DF5",TB1; internal P2-to-P3 transition,Authentication decision; session tokens,"Request manipulation reaches session creation on DF5 without a successful verification result: forged or mishandled verification state passed from P2 to P3, or direct invocation of the P3 session-creation function where it is independently reachable.","The attacker submits crafted login content that causes P2 to pass an incomplete or mishandled verification result to the session-creation step, or invokes P3's session-creation function directly with a chosen identity; P3 issues a token on DF6 for an arbitrary account whose credentials were never verified against DS1.","Complete authentication bypass: a valid session token is issued on DF6 for an arbitrary identity without any credential ever being verified, defeating the architecture's central property that P2 alone decides authentication.","Nothing in the drawn architecture forces DF5 to be preceded by a successful DF3/DF4 verification; the ordering constraint is an implementation convention rather than an enforced control, and the attacker input that drives the bypass enters across TB1 on DF1 and DF2. Stated assumption A1 makes P2 the sole authentication authority, so any path to DF5 around verification defeats a stated property with no drawn enforcement point. OWASP A04 (insecure design) applies.","Final audit: retained. Primary STRIDE is Spoofing: an unverified identity is accepted as an authenticated subject, which is the essence of spoofing; elevation of privilege is the downstream consequence when privileged accounts are targeted and is retained as a secondary note here only. Implementation-specific payload examples (type-confusion values) were removed; the mechanism is stated at the level of the unenforced DF3/DF4-before-DF5 ordering, which the drawn architecture fully supports. Severity Critical: the bypass mints sessions for arbitrary identities.",Critical,Medium,No,High,YES
S1-RT-006,Exposure of credentials in transit on the authentication paths,Information Disclosure,Authentication,P1 Web Frontend; P2 Authentication Service,"DF1, DF2",TB1 (external leg); internal P1-to-P2 leg,User credentials,"Credentials in plaintext form traverse DF1 across TB1 and the internal DF2 leg, and confidentiality protection for these flows is not specified by the architecture; an actor positioned on either path reads submitted credentials.","An actor positioned on the communication path between the End User and P1, or between P1 and P2, reads the username and password of every login submission traversing DF1 and DF2. Any implementation-side persistence of flow content, which the architecture does not specify, would extend the same exposure to stored artefacts and is treated as conditional.","Direct exposure of plaintext passwords, enabling immediate account takeover and cross-service reuse independent of any guessing.","DF1 and DF2 are the only flows in the model that carry plaintext credentials; DF1 crosses TB1 into the application; no confidentiality control for either flow is specified anywhere in the architecture, and under A6 that unspecified protection is itself the architecture-level finding. OWASP A02 applies.","Final audit: retained with a technology-neutral rewrite. The first-pass wording referenced transport-security mechanisms and logging artefacts that the architecture does not specify; the mechanism is now stated purely as unprotected credential-bearing flows across drawn boundaries, with persistence-based exposure phrased conditionally (rules 1 and 7). Distinct from S1-RT-001 and S1-RT-002: credentials are captured rather than guessed. Primary STRIDE is Information Disclosure.",High,High,No,High,YES
S1-RT-008,Injection into the credential verification exchange,Tampering,Authorization,P2 Authentication Service; DS1 User Database,"DF3, DF4",TB3,User credentials; password hashes; authentication decision,"Untrusted input submitted on DF1 influences the verification request that P2 composes on DF3, altering what DS1 returns on DF4: the store result can be forced positive, or the exchange can be steered to return stored records beyond the intended lookup.",The attacker submits a crafted username whose content changes the semantics of the DF3 verification request so that the DF4 response indicates success without the correct password; the same flaw is then steered to return stored credential records from DS1 instead of a single verification result.,"Simultaneous authentication bypass and mass disclosure of usernames and password hashes, the worst combined confidentiality and access-control outcome available in this architecture.","DF3, issued by P2 against DS1, is the only flow in the model where untrusted text that entered P1 across TB1 is transformed into a request interpreted by a higher-authority component across TB3; the taint path DF1 to DF2 to DF3 contains no validation or separation element, a confused-deputy condition at the TB3 crossing. OWASP A03 applies.","Final audit: retained with a technology-neutral rewrite: implementation-specific injection constructs were removed, and the mechanism is stated as untrusted influence over the DF3/DF4 verification exchange, which the drawn architecture fully supports. Matching note: a candidate threat describing injection into the session-validation lookups on SF1/SF3 matches this entry, since the taint pattern and the mitigation class are identical. Primary STRIDE is Tampering: the integrity of the verification request is violated; bypass and extraction are consequences.",Critical,Medium,No,High,YES
S1-RT-009,Excessive database access scope across the application-to-database boundary,Elevation of Privilege,Authorization,"Application services and store layer (P2, P3, P4 interacting with DS1, DS2, DS3)","DF3, DF4, SF1, SF2",TB3,User credentials; session tokens; LLM context repository,"Access scoping at the TB3 crossing is not specified by the architecture: nothing requires that each service's store access be limited to the store it legitimately uses, so a compromised or defective service can read and write stores it never requires.","An attacker who compromises P4 operates with its store access; because no per-service scoping is specified, the attacker reaches DS1 and DS2, password hashes and session tokens, although P4 legitimately requires only DS3.","Compromise of any one application service yields read or write access to stores it does not need, so a defect in a lower-value service exposes authentication credentials in DS1 or session tokens in DS2.","TB3 exists to ensure that access to authentication and session data is subject to controlled authorisation. The model shows three distinct services crossing TB3 towards three distinct stores with disjoint legitimate needs: P2 to DS1 on DF3/DF4, P3 to DS2 on SF1, and P4 to DS3 on SF2; how access is scoped at that crossing is not specified, which is recorded as an architecture-level control gap.","Final audit: retained with control-gap phrasing (rule 7): the entry states that scoping is not specified rather than claiming a specific misconfiguration. The entry makes no claim that the chatbot accesses the authentication databases: the architecture states the opposite, and access scoping is the control that keeps that stated property true under component compromise. Distinct from S1-RT-017, which addresses direct compromise of the session store itself. Primary STRIDE is Elevation of Privilege.",High,Medium,No,High,YES
S1-RT-010,Broken object-level authorisation on account data,Elevation of Privilege,Authorization,P2 Authentication Service; P1 Web Frontend,"DF2, DF3, DF4",TB1; TB3,Account information (PII); authentication decision,"An authenticated user substitutes another user's identifier in an account request, and P2 composes the DF3 request from the client-supplied identifier rather than from the identity bound to the authenticated session.","After logging in normally, the attacker submits an account-information request naming a victim's identifier; P2 queries DS1 on DF3 using the supplied identifier and returns or modifies the victim's account record, because no element binds the DF3 access to the identity established at authentication.",Unauthorised read or modification of other users' account information held in DS1.,"Identity is established when DF4 returns a successful verification result, but the drawn architecture contains no enforcement element that binds subsequent DS1 access on DF3 to that established identity; authentication and authorisation are therefore separable in this design, and a request may cross TB1 with a valid session and still address another subject's data across TB3. OWASP A01 applies.","Final audit: retained. Primary STRIDE is Elevation of Privilege: the attacker accesses an object belonging to another subject; information disclosure is the consequence and is noted as secondary here only. The grounding is absence-based (no authorisation-enforcement element is drawn), which is stated as a control gap rather than a definite flaw, hence Confidence Medium. Objectively matchable: any candidate threat describing unauthorised access to another user's account record through identifier substitution matches.",High,High,No,Medium,YES
S1-RT-011,Missing authorisation on the chatbot interface,Elevation of Privilege,Authorization,P4 AI Chatbot Component,"DF7, SF3",TB1,LLM context; generated responses; provider quota,"The chatbot interface is invoked directly rather than through the user interface, without presenting a valid session token, or the SF3 validation step is absent or advisory only, so the LLM pipeline is reachable without authentication.","An unauthenticated client calls the chatbot entry point directly, bypassing the web interface; P4 accepts the question on DF7, retrieves context on SF2, and P5 spends provider quota on DF9, all without a session token ever being presented or validated through SF3.","Anonymous consumption of the downstream LLM pipeline, exposure of approved context and assistant behaviour to unauthenticated parties, and loss of per-user attribution for abuse.","DF7 runs from the untrusted End User directly to P4 and crosses TB1 independently of the DF1-to-DF6 authentication path, so P4 does not inherit any protection established at login; SF3, the session-token validation exchange between P3 and P4, is the only authorisation element on this path, and its enforcement strength is not specified. P4's stated responsibilities include no identity check of its own.","Final audit: retained. Primary STRIDE is Elevation of Privilege: the attacker uses a protected application capability without any entitlement; no identity is forged, so Spoofing is not the primary violation. Classified as not LLM-specific: the defect is a missing access-control check on an application endpoint and would exist identically if P4 served static content. Conditional phrasing applied to the SF3 enforcement strength. Objectively matchable by the unauthenticated-reachability test.",High,Medium,No,High,YES
S1-RT-012,Cross-user context leakage between chatbot sessions,Information Disclosure,Authorization,P4 AI Chatbot Component; P5 LLM Integration Service,"DF7, DF8, DF11, DF12",TB1,User prompts; LLM context; generated responses,"A shared or incorrectly keyed conversation-context buffer causes one user's prior questions or retrieved context to be incorporated into another user's prompt on DF8, or a concurrency defect causes a response on DF11 to be delivered to the wrong requester on DF12.","Two users question the chatbot concurrently; a context buffer keyed incorrectly under load causes user B's assembled prompt on DF8 to include user A's earlier authentication-related questions, and the generated answer is delivered to the wrong requester on DF12 with the application's authority.","Disclosure of one user's authentication-related questions and identifiers to a different user, delivered with the application's authority.","P4 and P5 are single logical processes serving all users, and neither DF8 nor DF11 carries an explicit per-user key in the model; conversation context is required for coherent multi-turn answers yet is not represented as a data store in the architecture, so its isolation is not specified, and the leaked material crosses TB1 to the wrong subject on DF12.","Final audit: retained. AI-specific because the leaked asset is accumulated AI context that exists only because prompts are assembled from conversational state. Distinct from S1-RT-026 (authorised aggregate interrogation, components behaving as designed) and from S1-RT-024 (egress to the provider): here the defect is internal keying or concurrency, and the isolation of the unrepresented context store is stated as an architecture-level gap. Confidence Medium for that reason.",Medium,Medium,Yes,Medium,YES
