Reference_Threat_ID,Threat_Name,Primary_STRIDE_Category,Threat_Type,Affected_Components,Affected_Data_Flows,Trust_Boundary,Affected_Asset_Security_Property,Attack_Mechanism,Concrete_Attack_Scenario,Security_Impact,Architectural_Evidence,Expert_Justification,Severity,Likelihood,LLM_Specific,Confidence,Include_in_Final_Baseline
S2-RT-001,Authentication bypass through flawed enforcement of identity-bound access,Spoofing,Authentication,P2 File Management Service (reached via P1 Web Frontend),"DF1, DF4, DF5",TB1,User identity binding; user access permissions,"Requests reach the file management functions, upload on DF2 and retrieval on DF5, without a valid authenticated identity, exploiting absent or flawed enforcement of the identity requirement on the path across TB1: misrouted or disabled pre-checks, or acceptance of unverified state on flows that the permission model requires to be identity-bound.","An attacker submits request state that reaches the retrieval function of P2 with the identity pre-check skipped, mishandled or absent; P2 executes the DF6 lookup and returns content on DF7 while operating on an unverified identity, so every downstream authorisation decision is anchored to nobody.","Complete defeat of the platform's access model: unauthenticated upload, retrieval and assistant use, with every authorisation control operating on an unverified identity.","DS2 stores user identity and P2's permission checks are per-user by construction, so requests must be bound to an identity; yet the supplied architecture draws no authentication component, credential store or authentication flow, and the enforcement point exists only as an implied property of the TB1 crossing (A6: evaluate exactly as supplied).","Catalogue entry T-01, retained with re-anchoring. The supplied architecture grounds the identity requirement more strongly than the original: DS2 explicitly holds user identity and P2 checks permissions against it, so the absence of a drawn authentication enforcement point is an architecture-level gap rather than a hypothetical. Distinct from S2-RT-003 through S2-RT-005: those entries concern a caller whose identity is bound and locate the failure in the authorisation decision or in reference handling, whereas this entry is the acceptance of requests without any valid identity binding at all. Credential-guessing attacks against the unmodelled entry point remain out of scope and are recorded as a modelling gap. Primary STRIDE is Spoofing: an unverified identity is accepted as a verified subject; elevation of privilege is the downstream consequence and is noted as secondary. Confidence Medium: absence-based grounding.",Critical,Medium,No,Medium,YES
S2-RT-002,Theft of user identity-assertion material at the user boundary,Spoofing,Authentication,P1 Web Frontend (client environment of the End User),"DF1, DF4, DF9",TB1,User identity-assertion material,"The material by which the End User's identity is asserted to the platform, whose form the architecture does not specify, is captured at the TB1 client boundary through execution of attacker-supplied active content in the user's client environment or interception of the boundary-crossing legs, and is reused from the attacker's client.","Active content delivered through S2-RT-011 or S2-RT-026 executes in the victim's client environment, reads the identity-assertion material where it is exposed to code executing there, and exfiltrates it; the attacker then uploads, retrieves and queries documents as the victim, with every action attributed to the victim by any attribution mechanism.","Full impersonation of the victim across all platform functions, without any defect in the authorisation logic.","DS2's user identity and P2's per-user permission checks require that requests be bound to an identity, so identity-assertion material must cross TB1 on DF1, DF4 and DF9; its protection at and beyond TB1 is not represented anywhere in the architecture, and no invalidation or termination flow is drawn that would cut a stolen identity binding short.","Catalogue entry T-02, retained with re-anchoring and a technology-neutral rewrite. The supplied architecture does not specify how user identity is asserted, so the entry is generalised to the unspecified identity-assertion material that the drawn authorisation model necessarily presupposes, and the capture channels are phrased on unspecified protection rather than on named technologies. Retained separately from S2-RT-001 because the mechanism differs: that entry defeats the enforcement of identity binding, whereas here a legitimately bound identity is acquired after the fact. Primary STRIDE is Spoofing. Confidence Medium: the asserted form of the material is unspecified.",High,High,No,Medium,YES
S2-RT-003,Authorisation-check bypass through flawed logic in the File Management Service,Elevation of Privilege,Authorization,P2 File Management Service,"DF5, DF6, DF7",TB3,User access permissions; uploaded files,"Manipulated access requests, through parameter tampering, null or malformed file references, type confusion between upload and retrieval paths, or indirect references that the authorisation check resolves differently from the retrieval step, cause the check inside P2 to pass while DF6 retrieves and DF7 returns content the requester is not entitled to.",The attacker submits a retrieval request whose file reference is crafted so that the authorisation check inside P2 resolves it as permitted while the retrieval step resolves it as the victim's document; DF6 fetches and DF7 returns the victim's content with the check nominally in place and no obvious defect in any single component.,"Unauthorised retrieval of stored files with the authorisation check nominally in place, defeating the platform's core access-control property.","TB3 is drawn precisely between the user request and the file retrieval authorisation logic, which makes that logic the single decision point of the architecture: DF5 arrives, a decision is taken inside P2, and DF6 and DF7 act on it with no second enforcement element after the check. The attacker's input enters across TB1 on DF4 and reaches the decision logic through DF5. OWASP A04 together with A01 applies.","Catalogue entry T-03, retained unchanged in substance and already single-category. Per the review's mandated distinction, this entry is a P2-path retrieval failure and is deliberately kept separate from the AI-path disclosure entries S2-RT-009, S2-RT-018 and S2-RT-025: unauthorised retrieval through the file service and disclosure of already-approved context through the assistant are different security mechanisms. Distinct from S2-RT-004: here the check logic itself is flawed, while in S2-RT-004 the check is correct but unbound to the object; and distinct from S2-RT-001, which is the absence of a valid identity binding rather than a flawed decision for a bound caller. Primary STRIDE is Elevation of Privilege: access beyond entitlement.",Critical,Medium,No,High,YES
S2-RT-004,Broken object-level authorisation on file identifiers,Elevation of Privilege,Authorization,P2 File Management Service; DS1 Server Storage,"DF4, DF5, DF6, DF7, DF8",TB3,Uploaded files; sensitive document contents; file metadata,"An authenticated user substitutes another user's file identifier in a retrieval request on DF4 and DF5, and P2 composes the DF6 lookup from the client-supplied identifier rather than from the set of objects bound to the authenticated identity, so DF7 returns the victim's file and DF8 delivers it to the attacker.","After a legitimate login, the attacker requests a document using an identifier learned or guessed for another user's file; the authorisation check verifies that the requester may retrieve files in general but nothing binds the lookup to the objects the identity owns, and the victim's document is delivered on DF8.","Horizontal unauthorised access to any stored document whose identifier can be learned or guessed, scalable across the whole store, with each individual request well-formed and correctly authenticated.","DF5 is described as an authenticated file access request, but authentication establishes who the caller is, not which objects the caller may act on, and no element in the flow set binds the DF6 lookup to the identity established at DF5; DS2 holds file ownership, yet nothing forces the lookup to be composed from that ownership rather than from the client-supplied reference. OWASP A01 applies, aided by the enumeration behaviour of S2-RT-016.","Catalogue entry T-04, retained with a STRIDE collapse: primary Elevation of Privilege (access to another subject's object), with information disclosure noted as the consequence rather than carried in the primary field. Re-anchored to DS2's ownership records as the source the lookup fails to consult. Distinct from S2-RT-003 per the logic-versus-binding distinction stated there, and a P2-path entry per the mandated distinction from the AI-path disclosure entries. Objectively matchable by the substituted-identifier test.",Critical,High,No,High,YES
S2-RT-005,Escape from the per-user storage scope through crafted file references,Elevation of Privilege,Authorization,P2 File Management Service; DS1 Server Storage,"DF2, DF3 (write path); DF6, DF7 (read path)",TB2; TB3,Uploaded files; sensitive document contents; file metadata,"File names or identifiers whose crafted structure is interpreted by storage resolution as reaching beyond the caller's per-user or per-application scope are accepted on upload through DF2 or on retrieval through DF4 and DF6, so the write on DF3 commits to a location outside the intended scope and the read on DF6 returns storage content that the requester could never address through the legitimate reference scheme.","An attacker uploads a file whose name is crafted so that the DF3 write resolves outside the intended storage scope, replacing content there; separately, a retrieval reference crafted the same way causes DF6 to read and DF7 to return storage content beyond the requester's legitimate scope, including other users' documents and platform-held content.","Reading or replacing storage content beyond the caller's legitimate scope, including other users' documents and platform-held content, and planting content that later retrieval presents as legitimate.","DF3 and DF6 are the flows that cross TB2, and both carry a file reference whose textual form originates in the client environment on DF1 and DF4; the model shows validation on the upload leg but no normalisation of names or references on either crossing, so the reference is interpreted by the storage layer with whatever meaning it assigns, and a crafted reference can escape the intended reference scheme entirely.","Catalogue entry T-05, retained with a STRIDE collapse and an architecture-level rewrite in this final pass: the original's file-system-specific wording was generalised to crafted file references whose resolution escapes the per-user scope, a formulation the drawn architecture fully supports, because names and references flow from the client environment across TB2 to storage resolution with no normalisation drawn on either crossing. Primary Elevation of Privilege, since the violated property is access beyond the caller's entitlement, with the read-side information disclosure and write-side tampering recorded here as consequences. Distinct from S2-RT-004 because the reference here is crafted outside the legitimate reference scheme rather than being another user's valid object reference, and from S2-RT-006 because it abuses reference resolution rather than lookup influence. The mitigation, canonical reference resolution and containment, differs accordingly. OWASP A03 and A01 apply.",Critical,Medium,No,High,YES
S2-RT-006,Injection affecting file lookup and metadata processing,Tampering,Authorization,P2 File Management Service; DS1 Server Storage,DF6 (taint entry via DF1 and DF4),TB2; TB3,Uploaded files; file metadata; sensitive document contents,"Attacker-controlled syntax in the file reference or in metadata fields entered on DF1 influences the lookup that P2 composes on DF6, altering what the store returns: bypass of lookup restrictions and extraction of the metadata catalogue beyond the requester's scope.","The attacker submits a retrieval request whose file reference carries crafted syntax that changes the meaning of the DF6 lookup; the store returns records beyond the requester's scope, both file content references and the metadata catalogue, without the authorisation check on DF5 ever seeing the same reference the lookup resolves.","Simultaneous authorisation bypass and catalogue-wide disclosure of file metadata and document references, providing the enumeration substrate that scales S2-RT-004 and S2-RT-005.","DF6 is the flow where untrusted text that entered the client environment across TB1 is transformed into a request interpreted by a higher-authority component across TB2, a confused-deputy condition; the taint path from DF1 through DF4 to DF6 contains no validation or separation element. The store holds file metadata alongside content, so the fields on which TB3 decisions rely are part of the lookup surface. OWASP A03 applies.","Catalogue entry T-06, retained with a technology-neutral rewrite: implementation-specific injection constructs were removed and the mechanism is stated as untrusted influence over the DF6 lookup, which the drawn architecture fully supports. Matching note: the identical taint pattern applied to the permission-store lookups that P2 directs at DS2 matches this entry and feeds S2-RT-034. Primary STRIDE is Tampering: the integrity of the lookup is violated; the authorisation bypass and extraction are consequences. Distinct from S2-RT-005 per the reference-resolution versus lookup-influence distinction.",Critical,Medium,No,High,YES
S2-RT-007,Privilege-separation gap in the File Management Service's storage access,Elevation of Privilege,Authorization,P2 File Management Service; DS1 Server Storage; DS2 User Permission Database,"DF3, DF6, DF7",TB2,Uploaded files; file metadata; user access permissions,"The architecture specifies no privilege separation for P2's storage access: a single access scope spans all users' content, the metadata catalogue and the permission records P2 consults, rather than scopes limited to what each function's operations legitimately require. If the implemented access scope is broader than individual functions require, a condition the supplied architecture neither establishes nor excludes, compromise or defect in any one function operates against content and records that function never legitimately required.","An attacker who compromises or finds a flaw in one P2 function, for instance the validation of uploads, operates through the undifferentiated storage access against content and records that the compromised function never legitimately required, reaching every user's documents and the permission records P2 consults.","Compromise or defect in any single P2 function can yield read or write access to stores and records it does not need, so a flaw in a low-sensitivity function can expose the entire store and the authorisation source.","The supplied architecture makes P2 the only component that controls storage and consults DS2 as the authoritative authorisation source, which concentrates all store access in one service; TB2 marks the storage boundary, and how P2's access is scoped at that crossing is not specified, which is recorded as an architecture-level control gap.","Catalogue entry T-07, retained, re-anchored and reframed in this freeze audit as an architecture-level privilege-separation gap: the entry makes no claim that P2 definitely holds excessive privileges, since the implemented scope is unknowable from the supplied architecture; it records that nothing in the supplied architecture separates or limits P2's storage access, so the blast radius of any P2 defect is structurally unbounded. Under the supplied architecture P2 is the sole store client, which concentrates all store access in one service; TB2 marks the storage boundary, and how P2's access is scoped at that crossing is not specified, which is the control gap this entry records. The entry makes no claim that the assistant or the LLM reaches storage: the architecture states the opposite, and scoped access is what keeps that stated property true under P2 compromise. Primary STRIDE is Elevation of Privilege.",High,Medium,No,High,YES
S2-RT-008,Unauthorised access to document context through the assistant path,Elevation of Privilege,Authorization,P3 AI File Assistant,"DF9, DF10",TB1,Approved document context; generated responses; provider quota,"The assistant path crosses TB1 on DF9 independently of the identity-bound file path, and no identity binding is specified for it: a requester without a valid identity binding can submit questions, and the approved-context mechanism that A3 describes cannot anchor to a legitimate requester, so document-derived context is assembled and returned through the assistant pipeline to an unauthorised party.","A client with no identity binding submits a question on DF9; P3 accepts it, document context is attached under the approved-context mechanism without a legitimate requester to anchor it, and the LLM pipeline is consumed on DF10, delivering document-derived answers to a party never bound to an identity.","Unauthorised access to document-derived context and answers through the assistant path, anonymous consumption of the LLM pipeline, and loss of per-user attribution for abuse.","DF9 runs from the untrusted End User directly to P3 and crosses TB1 independently of the DF4/DF5 identity-bound retrieval path, so P3 inherits no protection established at the file path; A3 states that the assistant receives only approved document context, which presupposes a known requester, yet no authentication element is drawn on DF9 and the check's presence is not specified.","Catalogue entry T-08, retained with a STRIDE collapse and reframed in this freeze audit around the document-context asset. The threat is not a generic assumption that the assistant interface needs its own authorisation check: the supplied architecture independently justifies the entry, because A3 makes the assistant path carry approved document context and DS2's per-user permissions make that approval user-specific, so a path that reaches the pipeline without identity binding is an unauthorised-access path to document-derived content. Primary Elevation of Privilege, because the attacker uses a protected application capability without entitlement and no identity is forged, so Spoofing is not the primary violation. Classified as not LLM-specific: the defect is a missing identity binding on an application path and would exist identically for any capability that serves user-specific content. Conditional phrasing applied to the unspecified check. This entry is the unauthenticated entry point leveraged by S2-RT-033.",High,Medium,No,High,YES
S2-RT-009,Authorisation gap in assistant document-context preparation,Elevation of Privilege,Authorization,P3 AI File Assistant; P2 File Management Service; DS1 Server Storage,"DF9, DF10 (context-acquisition path not represented in the model)",TB3; TB4,Sensitive document contents; document context sent to the LLM; user access permissions,"The document context that DF10 describes as approved is assembled somewhere between storage and the assistant, but no flow in the model shows that context passing the TB3 authorisation logic that governs retrieval; if context preparation selects documents by reference or relevance without verifying the asking user's entitlement, the assistant becomes an alternative disclosure channel for protected files.","A user asks the assistant to summarise a document they are not entitled to retrieve; the unmodelled context-acquisition path attaches the document anyway, because nothing represented in the architecture subjects context selection to the same entitlement check that governs DF5-to-DF8 retrieval, and the content is returned as a generated response.","Confidential document contents returned as generated responses to users who could not retrieve those files through the authorised path, silently bypassing the platform's core access-control property through the AI channel.","A3 states that the assistant receives only approved document context, but that is a policy statement whose enforcement point is not represented: the model contains a fully specified retrieval path with an explicit authorisation boundary from DF5 to DF8 across TB3, and a separate context path that begins nowhere visible and arrives fully formed on DF10. A reference model must test stated properties against drawn controls rather than accept them.","Catalogue entry T-09, retained with a STRIDE collapse: primary Elevation of Privilege, the unauthorised channel to protected content, with the disclosure itself noted as the consequence. This entry is the AI-path counterpart of the P2-path retrieval failures S2-RT-003 to S2-RT-005 and is deliberately not merged with them, per the review's mandated distinction between unauthorised retrieval through P2 and disclosure of already-approved or wrongly-approved context through the AI path. Classified AI-specific because the context-preparation path exists only to feed the external LLM. Confidence Medium: absence-based grounding.",High,Medium,Yes,Medium,YES
S2-RT-010,Malicious file upload and platform-mediated distribution,Tampering,Data Security,P2 File Management Service; DS1 Server Storage,"DF2, DF3, DF7, DF8",TB1; TB2,Uploaded files; document contents; recipient client environments,"Files with malicious active content are accepted on upload because validation of file properties is not specified beyond access validation, are stored through DF3, and are distributed on request through DF7 and DF8 to other users, making the platform the delivery mechanism for hostile content.","An attacker uploads a document containing hostile active content under a plausible name; the file is stored and later retrieved by another user, who opens it under the assumption that the platform is a trusted source, executing the content in their own client environment.","The platform becomes a distribution channel for malicious content between users, with the trust placed in a legitimate service converting each retrieval into a delivery, and the attacker needing no further interaction after upload.","Upload on DF1/DF2 and storage on DF3 are stated capabilities with no content-inspection element drawn anywhere in the model, and A5 declares uploaded files untrusted; the distribution path DF7/DF8 is the platform's stated purpose, so the only question the architecture leaves open is what, if anything, is checked about content, which is not specified.","Catalogue entry T-10, retained. Required by the file-security checklist (malicious file upload) and architecture-grounded: the upload-validation obligation of P2 concerns access and properties, and no content-control element is drawn, which is stated as a control gap rather than a definite absence. Retained separately from S2-RT-011 because the victim-side mechanism differs: here the recipient opens the file in their own client environment, whereas RT-011 requires only that the platform display content, and the mitigations differ, upload-side content controls versus display-side content handling. Primary STRIDE is Tampering.",Critical,Medium,No,High,YES
